Champion,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
AatroxAatrox,TOP,God / S+,90.41,+2.32,48.83%,94.32%,12.46%,36.53%,1.85
AhriAhri,MID,Strong / S,58.39,+3.19,50.17%,91.30%,5.39%,2.95%,2.37
AkaliAkali,MID,God / S+,71.67,+10.26,47.20%,80.14%,9.86%,12.95%,2.31
AkaliAkali,TOP,Weak / C,41.73,-1.23,46.10%,19.11%,2.29%,12.95%,2.03
AkshanAkshan,MID,Fair / B,44.51,-8.65,48.15%,63.28%,2.80%,5.30%,2.08
AkshanAkshan,TOP,Bad / D,37.46,+0.21,46.59%,23.09%,1.07%,5.30%,1.82
AlistarAlistar,SUPPORT,Fair / B,43.52,-3.69,49.19%,94.10%,2.54%,0.68%,2.42
AmumuAmumu,SUPPORT,Good / A,51.00,-9.71,50.46%,52.12%,4.94%,7.97%,2.03
AmumuAmumu,JUNGLE,Good / A,50.01,-1.27,50.71%,47.18%,3.31%,7.97%,2.58
AniviaAnivia,SUPPORT,Good / A,49.37,+11.87,55.34%,14.63%,0.50%,3.39%,2.37
AniviaAnivia,MID,Fair / B,48.35,-8.98,48.85%,80.26%,2.77%,3.39%,2.59
AnnieAnnie,MID,Fair / B,44.55,-2.78,49.36%,76.68%,1.75%,0.91%,2.40
AnnieAnnie,SUPPORT,Bad / D,34.31,+1.85,47.27%,17.90%,0.95%,0.91%,1.93
ApheliosAphelios,ADC,Weak / C,40.55,-2.71,44.43%,97.91%,9.02%,1.21%,1.92
AsheAshe,ADC,Strong / S,59.20,+2.49,50.49%,69.75%,9.65%,4.10%,2.44
AsheAshe,SUPPORT,Fair / B,47.05,+3.72,49.54%,26.69%,3.81%,4.10%,2.30
Aurelion SolAurelion Sol,MID,Weak / C,40.16,+5.05,49.45%,89.58%,0.59%,0.31%,2.27
AzirAzir,MID,Fair / B,42.95,+0.38,44.87%,93.45%,4.45%,1.60%,1.95
BardBard,SUPPORT,Good / A,51.56,+2.88,51.27%,95.25%,3.39%,0.56%,3.01
Bel'VethBel'Veth,JUNGLE,God / S+,67.42,-3.21,51.01%,94.86%,7.39%,27.74%,2.25
BlitzcrankBlitzcrank,SUPPORT,God / S+,77.29,-0.26,51.43%,67.96%,8.60%,42.12%,2.48
BlitzcrankBlitzcrank,JUNGLE,Fair / B,43.84,-0.81,44.97%,28.51%,3.35%,42.12%,2.21
BrandBrand,SUPPORT,Fair / B,48.14,-0.87,51.29%,74.25%,3.67%,4.02%,1.88
BrandBrand,MID,Fair / B,44.11,-5.67,51.48%,19.28%,1.01%,4.02%,2.03
BraumBraum,SUPPORT,Weak / C,38.36,-2.37,47.18%,97.07%,1.92%,0.31%,2.41
CaitlynCaitlyn,ADC,God / S+,83.45,-1.61,49.73%,97.60%,17.33%,16.59%,2.30
CamilleCamille,TOP,Strong / S,59.86,+6.34,50.26%,95.81%,6.37%,3.50%,2.00
CassiopeiaCassiopeia,MID,Weak / C,42.03,-2.83,48.34%,79.32%,2.14%,1.92%,2.02
CassiopeiaCassiopeia,TOP,Bad / D,34.07,-23.30,46.36%,10.34%,0.29%,1.92%,1.69
Cho'GathCho'Gath,TOP,Fair / B,46.72,-2.09,49.66%,67.02%,1.93%,0.69%,2.04
Cho'GathCho'Gath,MID,Weak / C,42.00,-2.96,50.90%,16.99%,0.50%,0.69%,2.17
CorkiCorki,MID,Weak / C,37.74,+3.70,48.51%,85.93%,0.77%,0.25%,2.03
CorkiCorki,ADC,Bad / D,7.85,999NEW,40.00%,11.51%,0.07%,0.25%,1.84
DariusDarius,TOP,God / S+,76.00,+6.18,49.30%,93.13%,10.34%,25.30%,1.82
DianaDiana,JUNGLE,Good / A,55.00,-1.23,51.01%,72.53%,5.27%,3.91%,2.42
DianaDiana,MID,Fair / B,45.98,+0.28,50.76%,25.67%,1.78%,3.91%,2.14
Dr. MundoDr. Mundo,JUNGLE,Good / A,54.99,+16.63,57.40%,11.88%,0.35%,1.47%,2.97
Dr. MundoDr. Mundo,TOP,Good / A,52.00,+3.08,51.32%,74.35%,2.43%,1.47%,2.17
DravenDraven,ADC,Fair / B,46.39,-4.59,46.89%,94.56%,6.97%,23.19%,2.03
EkkoEkko,JUNGLE,Strong / S,64.24,-5.09,50.85%,63.76%,7.25%,9.32%,2.93
EkkoEkko,MID,Strong / S,56.03,-1.32,51.85%,34.06%,3.65%,9.32%,2.30
EliseElise,JUNGLE,Good / A,49.11,+7.20,50.48%,92.66%,3.28%,1.71%,2.64
EvelynnEvelynn,JUNGLE,Good / A,53.03,+3.91,48.65%,96.99%,5.09%,6.66%,2.91
EzrealEzreal,ADC,God / S+,69.35,+5.83,49.03%,94.21%,14.88%,2.73%,2.47
FiddlesticksFiddlesticks,JUNGLE,Good / A,54.84,-1.43,51.26%,87.10%,4.35%,8.92%,2.70
FioraFiora,TOP,God / S+,67.52,+2.92,48.77%,98.35%,8.99%,20.10%,1.71
