ID,Gamemode,Result,Length (min),Roll,Champion,KDA,KP (%),CS,Average Rank
1,Normal,Defeat,30.31666667,Top,Tahm Kench,1.33,31,176,Silver 4
2,Normal,Victory,32.06666667,Jungle,Bel'Veth,2.83,43,172,Silver 4
3,Normal,Victory,30.63333333,Middle,Dr. Mundo,3.14,50,153,Gold 4
4,Normal,Victory,26.88333333,Top,Bel'Veth,5.33,47,153,Bronze 1
5,Normal,Defeat,29.96666667,Jungle,Tahm Kench,1.17,32,123,Bronze 1
6,Normal,Victory,27.6666666,Jungle,Nasus,3.60,55,153,Silver 4
7,Normal,Defeat,34.5666666,Jungle,Nasus,1.33,40,147,Gold 3
8,Normal,Victory,35.1666666,Jungle,Tahm Kench,9.33,78,163,Silver 4
9,Normal,Victory,27.75,Jungle,Bel'Veth,2.5,23,143,Silver 3
10,Normal,Victory,19.1,Jungle,Bel'Veth,10,53,115,Silver 4
