ID,Gamemode,Result,Length (min),Roll,Champion,KDA,KP (%),CS,Average Rank
0,Ranked,Victory,33.48333333,Jungle,Lillia,5.00,48,191,Bronze 1
1,Ranked,Victory,22.95,Jungle,Mordekaiser,4.33,33,125,Bronze 1
2,Ranked,Loss,16.13333333,Jungle,Mordekaiser,1.00,80,74,Silver 3
3,Ranked,Loss,16.18333333,Jungle,Lillia,0.33,14,74,Bronze 1
4,Ranked,Victory,25.88333333,Jungle,Lillia,24.00,57,174,Bronze 2
5,Ranked,Loss,34.98333333,Jungle,Mundo,2.17,54,178,Silver 4
6,Ranked,Victory,22.13333333,Jungle,Mordekaiser,16.00,53,123,Silver 4
7,Ranked,Loss,24,Jungle,Lillia,1.33,42,97,Silver 3
8,Ranked,Victory,29.45,Jungle,Mordekaiser,3.75,58,161,Silver 4
9,Ranked,Loss,38.15,Jungle,Vi,2.86,49,217,Bronze 1
10,Ranked,Loss,38.11666667,Jungle,Lillia,4.00,63,244,Bronze 1
11,Ranked,Victory,31.9,Jungle,Lillia,5.25,57,187,Silver 3
12,Ranked,Loss,28.93333333,Jungle,Mordekaiser,2.50,75,138,Silver 2
13,Ranked,Victory,23.58333333,Jungle,Mordekaiser,5.67,45,126,Bronze 1
14,Ranked,Loss,20.81666667,Jungle,Lillia,0.80,40,100,Silver 4
15,Ranked,Victory,30.1,Jungle,Mordekaiser,3.00,41,125,Silver 4
16,Ranked,Loss,44.3,Jungle,Lillia,1.78,38,209,Silver 4
17,Ranked,Victory,39.45,Jungle,Mordekaiser,3.60,38,195,Silver 4
18,Ranked,Victory,27.36666667,Jungle,Mundo,2.67,20,155,Silver 3
